id,time,day_id,is_weekday,mood,label,mood_5_day_average,circumplex.arousal_5_day_average,circumplex.valence_5_day_average,activity_5_day_average,screen_5_day_average,call_5_day_average,sms_5_day_average,new_appCat.work_5_day_average,new_appCat.recreation_5_day_average,new_appCat.connection_5_day_average,new_appCat.utils_5_day_average,new_appCat.others_5_day_average,most_used_app
AS14.19,2014-04-10,53.0,1,6.75,7.0,0.910224438902743,0.1367521367521367,0.783333333333333,0.8236657330528014,0.05710709075710363,1.0,0.75,0.0,0.37471200505051677,0.048257533768650135,0.8357345890922363,0.6615961430110764,0.08538707344117197
AS14.19,2014-04-11,54.0,1,6.8,7.0,0.7231920199501243,0.15384615384615374,0.6333333333333333,0.6345786504358624,0.027971032684836583,1.0,0.75,0.0,0.41943672804235566,0.03591607953195876,0.9863203546550674,0.6143496076342956,0.08893505922582581
AS14.19,2014-04-12,55.0,0,7.2,7.0,0.6558603491271819,0.2649572649572649,0.6333333333333329,0.6850874371424378,0.02893843441954952,1.0,0.5,0.0,0.46416145103419465,0.021991484270398612,1.0,0.650100434500847,0.09862668943616933
AS14.19,2014-04-13,56.0,0,7.2,7.0,0.745635910224439,0.47008547008547,0.6999999999999997,0.3336474913600376,0.03611005096896891,1.0,0.5,0.0,0.5088861740260335,0.01733300408915084,0.9946227682826805,0.6343717548739456,0.10261239336552684
AS14.19,2014-04-14,57.0,1,7.0,7.0,0.8054862842892758,0.43589743589743585,0.6999999999999997,0.4073358245405563,0.021061439418798233,1.0,0.25,0.0,0.5536108970178725,0.006853888528609339,0.9490345254576391,0.8025114880373223,0.12234227304503198
AS14.19,2014-04-15,58.0,1,6.4,6.0,0.7755610972568574,0.5726495726495726,0.6999999999999997,0.49225837121619387,0.024890033404626033,1.0,0.0,0.0,0.5983356200097114,0.022538841718395958,0.9728234947753038,0.9059711394997281,0.11628972750522787
AS14.19,2014-04-16,59.0,1,6.8,7.0,0.7231920199501243,0.4871794871794871,0.783333333333333,0.6658060226476674,0.08515395438385853,1.0,0.0,0.0,0.6430603430015505,0.026860247976538215,0.786919392338951,1.0000000000000002,0.13695397485828212
AS14.19,2014-04-17,60.0,1,6.8,7.0,0.7231920199501243,0.48717948717948706,0.783333333333333,0.5643669734186769,0.06725455648075018,1.0,0.25,0.0,0.6877850659933893,0.05490066227205992,0.7290246161435062,0.9557372664284609,0.13228327022422817
AS14.19,2014-04-18,61.0,1,6.8,7.0,0.6633416458852865,0.31623931623931617,0.8499999999999999,0.6703939030914523,0.14240304225017603,1.0,0.25,0.0,0.7325097889852282,0.058809800507396634,0.6832300012959215,0.8319705581769801,0.14019978898638497
AS14.19,2014-04-19,62.0,0,6.8,7.0,0.6034912718204479,0.24786324786324776,0.8499999999999999,0.524452740422676,0.2571734863900916,1.0,0.5,0.0,0.7772345119770673,0.07263393069418433,0.6445501971237766,0.5617049034554993,0.14067465773534396
AS14.19,2014-04-20,63.0,0,7.6,8.0,0.5735660847880295,0.11111111111111105,0.8499999999999999,0.4178301019796984,0.19713954840734288,1.0,0.5,0.0,0.8183469320521085,0.04927754467821015,0.546550939612733,0.33143149692863183,0.14454358675590848
AS14.19,2014-04-21,64.0,1,6.4,6.0,0.7531172069825427,0.31623931623931617,0.9166666666666665,0.3315759842714776,0.16479149338802984,1.0,0.5,0.0,0.8558470492103524,0.04739120857063124,0.5348291804719594,0.11936869485733204,1.0000000000000002
AS14.19,2014-04-22,65.0,1,6.8,7.0,0.693266832917705,0.38461538461538447,0.9166666666666665,0.5000094387099245,0.17808991166039495,1.0,0.25,0.0,0.8897348634517985,1.0,0.5037380607340173,0.046935441867840044,0.15373548079983998
AS14.19,2014-04-23,66.0,1,6.0,6.0,0.693266832917705,0.6239316239316239,0.9833333333333332,0.606427006963993,0.07938771822114787,1.0,0.25,0.0,0.920010374776447,0.9855012452444278,0.4613812479831205,0.0,0.16031649377895596
AS14.19,2014-04-24,67.0,1,6.6,7.0,0.5735660847880295,0.6239316239316239,0.9833333333333332,0.7433032205173558,0.0,1.0,0.25,0.0,0.9466735831842981,0.9821999773047816,0.4317654834213107,0.031739461812594794,0.16305860597827948
AS14.19,2014-04-25,68.0,1,7.25,7.0,0.5436408977556102,0.5897435897435896,0.9833333333333332,0.729186412871691,0.07193874581911563,1.0,0.25,0.0,0.9733367915921491,0.9867131717345468,0.3964044300288089,0.47572454766985417,0.1716073338453722
AS14.19,2014-04-26,69.0,0,7.75,8.0,0.49127182044887796,0.4273504273504273,0.833333333333333,0.6537908847784943,0.10292411058206496,1.0,0.25,0.0,0.9999999999999999,0.9978124530154935,0.3634986801800716,0.4130748412416012,0.1464997808678388
AS14.19,2014-04-27,70.0,0,6.333333333333333,6.0,0.693266832917705,0.6324786324786325,1.0,1.0000000000000002,0.09472297447105593,1.0,0.5,0.0,0.9912391687824716,0.021078742017492727,0.44275793013609466,0.7983141744735571,0.12195345518760509
AS14.19,2014-04-28,71.0,1,6.4,6.0,0.6234413965087278,0.27350427350427337,0.8777777777777778,0.7241168520204369,0.1748489583959401,1.0,0.5,0.0,0.9470542979395637,0.03345774374889206,0.4253113917468746,0.919234871996528,0.09939470808020438
AS14.19,2014-04-29,72.0,1,7.2,7.0,0.6832917705735664,0.44444444444444436,0.7444444444444445,0.7035572884568249,0.17449062330657555,1.0,0.25,0.0,0.8674453874712765,0.037676161894073856,0.3753707700242095,0.9487991353633431,0.0670825558541053
AS14.19,2014-04-30,73.0,1,7.0,7.0,0.7730673316708225,0.6153846153846153,0.6777777777777776,0.4642739831935738,0.13252841112343278,1.0,0.25,0.0,0.7524124373776098,0.033516884682116416,0.3637511044709253,0.43216641260686317,0.06308730001710408
AS14.19,2014-05-01,74.0,1,6.8,7.0,0.7356608478802995,0.811965811965812,0.6944444444444446,0.36778092573697263,0.13085615327537675,1.0,0.25,0.0,0.6019554476585637,0.045438046477301625,0.29941491222110683,0.5124560376499314,0.050824845184011994
AS14.19,2014-05-02,75.0,1,7.8,8.0,0.5935162094763093,0.6068376068376068,0.46111111111111125,0.0,0.18876909519926083,1.0,0.0,0.0,0.48158985588332687,0.05166043139428016,0.15484383840721097,0.10021915621151423,0.04358149759827737
AS14.19,2014-05-03,76.0,0,7.4,7.0,0.8129675810473813,0.9316239316239316,0.5833333333333333,0.44143665969702384,0.10017427457290196,1.0,0.0,0.0,0.3913156620518991,0.03884537963782134,0.13400231746681027,0.10821902104154857,0.05194092700523038
AS14.19,2014-05-04,77.0,0,6.6,7.0,0.9625935162094761,1.0,0.7166666666666663,0.6999381498086432,0.13913617369393733,1.0,0.25,0.0,0.3311328661642807,0.03421618286817654,0.1381121975992944,0.12249322630762549,0.0646461870281344
AS14.19,2014-05-05,78.0,1,7.0,7.0,0.872817955112219,0.8632478632478633,0.783333333333333,0.8309798570309224,0.15990672973409398,0.0,0.25,0.0,0.3010414682204715,0.05274808562232487,0.22492597319732174,0.19553542082794118,0.056493387802935696
AS14.20,2014-03-20,32.0,1,7.0,7.0,,,,,,,,,,,,,0.31353183970789444
AS14.20,2014-03-21,33.0,1,7.0,7.0,,,,,,,,,,,,,0.2513711430240153
AS14.20,2014-03-22,34.0,0,7.5,8.0,,,,,,,,,,,,,0.2021318980135363
AS14.20,2014-03-23,35.0,0,7.6,8.0,,,,,,,,,,,,,0.1491885847392618
AS14.20,2014-03-24,36.0,1,6.8,7.0,,,,,,,,,,,,,0.9999999999999998
AS14.20,2014-03-25,37.0,1,6.0,6.0,0.8840579710144922,0.36964980544747084,0.5757575757575759,0.11010988481091977,0.5303865121416336,0.0,0.4,0.0,0.14305486053997934,0.11058735658491037,0.0,1.0,0.0
AS14.20,2014-03-26,38.0,1,6.8,7.0,0.5942028985507246,0.42801556420233466,0.12121212121212133,0.24003192882657268,0.45271441398756535,0.0,0.4,0.0,0.18541014342543766,0.13442840592195926,0.0012354478647035871,0.7598117792735498,0.07906978985493404
AS14.20,2014-03-27,39.0,1,7.0,7.0,0.5362318840579707,0.46303501945525294,0.16666666666666674,0.28243471854261537,0.479742101311934,0.0,0.4,0.0,0.22025526479944751,0.1823983867781116,0.03944678464925222,0.6093824493970819,0.0556117971921026
AS14.20,2014-03-28,40.0,1,6.25,6.0,0.3913043478260878,0.2879377431906615,0.2424242424242425,0.36355281038394266,0.46717023588714274,0.0,0.4,0.0,0.19771161067923754,0.22553908949280677,0.08980316649882292,0.5448571178247918,0.1977073912357072
AS14.20,2014-03-29,41.0,0,7.4,7.0,0.0,0.21789883268482488,0.0,0.33162112521880543,0.42243450460074833,0.0,0.2,0.0,0.18933281280696673,0.14421724938291236,0.1721373152218768,0.5868222438816761,0.33680181040916324
AS14.20,2014-03-30,42.0,0,7.5,8.0,0.17391304347826164,0.4980544747081712,0.18181818181818182,0.504124515289231,0.25385559460196144,0.33333333333333337,0.0,0.0,0.18467942694334455,0.0,0.25274959391861845,0.18956714003093358,0.4918843928894582
AS14.20,2014-03-31,43.0,1,7.0,7.0,0.6086956521739122,0.906614785992218,0.6363636363636365,1.0,0.32134695677408504,0.33333333333333337,0.2,0.0,0.3392131265530996,0.05954249730262917,0.2283261863008425,0.2514576792625877,0.6169008230121137
AS14.20,2014-04-01,44.0,1,6.25,6.0,0.6666666666666661,1.0,0.7575757575757578,0.9781713756119492,0.2356557485423149,0.6666666666666667,0.4,0.0,0.518544649610913,0.06957586941739391,0.18426081474395056,0.3008752560798265,0.7447438511442925
AS14.20,2014-04-02,45.0,1,6.5,6.0,0.4492753623188399,0.9416342412451362,0.5303030303030303,0.8843531817163058,0.20282323345725745,0.6666666666666667,0.6,0.0,0.7725526100995559,0.1868183810980414,0.1888168873896452,0.3345747311786591,0.6384728071220644
AS14.20,2014-04-03,46.0,1,6.666666666666667,7.0,0.5217391304347814,0.8249027237354085,0.6060606060606062,0.9556551832498228,0.3177219377123573,0.6666666666666667,0.6,0.0,0.9344190756323314,0.3591696848489978,0.27727534494596157,0.3525561045590855,0.5194287741144248
AS14.20,2014-04-04,47.0,1,7.0,7.0,0.30917874396135403,0.6692607003891051,0.40404040404040414,0.8188514935856123,0.23265781112494066,0.6666666666666667,0.6,0.0,1.0000000000000002,0.5200673494052824,0.3950470447440913,0.3473773144363093,0.4003847411067848
AS14.20,2014-04-05,48.0,0,7.0,7.0,0.16425120772946933,0.6108949416342413,0.25252525252525254,0.21896217304999516,0.16426091779399882,0.6666666666666667,0.4,0.07586633663366336,0.9661725775138914,0.5359580503727109,0.5392627087552071,0.32672381388464233,0.07900912968991289
AS14.20,2014-04-06,49.0,0,7.0,7.0,0.16425120772946933,0.5175097276264591,0.25252525252525254,0.34744410912436186,0.196287607992215,0.6666666666666667,0.2,0.1672493811881188,0.7435554733470828,0.6519915401036981,0.6543227652841903,0.30210846150612486,0.1427385297710607
AS14.20,2014-04-07,50.0,1,6.8,7.0,0.3816425120772955,0.6575875486381324,0.4949494949494952,0.4465739613254532,0.3113128919344363,1.0,0.2,0.2741491336633663,0.4915516252943383,0.7818332059291283,0.7524526062056334,0.2790647542548837,0.42528989845627796
AS14.20,2014-04-08,51.0,1,7.25,7.0,0.46859903381642454,0.7976653696498055,0.7222222222222225,0.38383440758192094,0.1947441554099933,1.0,0.4,0.3965655940594059,0.4099547770411697,0.9999999999999999,0.7310473620088576,0.2575926921309188,0.34694714214924605
AS14.20,2014-04-09,52.0,1,7.75,8.0,0.6376811594202891,0.8365758754863815,0.8484848484848486,0.29881212901567133,0.4353158807414544,0.6666666666666667,0.6,0.5344987623762375,0.36841121240364144,0.8371497590601685,0.7212760307922421,0.24131699390805733,0.2703830346292059
AS14.20,2014-04-10,53.0,1,7.0,7.0,0.8550724637681153,0.7198443579766538,1.0,0.38706797165578294,0.4602336919603138,0.6666666666666667,0.8,0.612082301980198,0.33935593063520203,0.7825516911559619,0.7210097735203105,0.22576162499225505,0.1939743642136372
AS14.20,2014-04-11,54.0,1,7.5,8.0,0.8550724637681153,0.7431906614785992,0.9090909090909092,0.2739531590671385,0.5663808406038837,0.33333333333333337,1.0,0.6896658415841584,0.41636325257243173,0.712217915350322,0.7303821850970966,0.20793662239620359,0.12054116057514305
AS14.20,2014-04-12,55.0,0,6.8,7.0,1.0,0.7198443579766538,0.8939393939393943,0.2655020355338633,0.4122290348546736,0.33333333333333337,0.8,0.7672493811881188,0.44371051175964155,0.48766089554618863,0.7296269759280616,0.20343107782321324,0.04710795693664885
AS14.20,2014-04-13,56.0,0,6.8,7.0,1.0,0.5797665369649805,0.7727272727272729,0.29343163139380696,0.48695422130268223,0.6666666666666667,0.8,0.8448329207920793,0.31686826515585803,0.2044960793049584,0.7656257282626486,0.18130753397905786,0.3390401695912947
AS14.20,2014-04-14,57.0,1,6.8,7.0,0.8695652173913047,0.46303501945525294,0.7272727272727275,0.28788976867919647,0.21530153884548237,0.6666666666666667,0.6,0.9068997524752475,0.31900658922135,0.2744552016032744,0.7517232985585833,0.15809484817688785,0.2672925006961496
AS14.20,2014-04-15,58.0,1,6.8,7.0,0.5942028985507246,0.4046692607003891,0.48484848484848503,0.18195538397947714,0.12318051834346183,0.6666666666666667,0.6,0.9534498762376238,0.32970403837116097,0.20826905439480903,0.7403703074776748,0.13379302041670313,0.19554483180100438
AS14.20,2014-04-16,59.0,1,7.2,7.0,0.5362318840579707,0.2879377431906615,0.5151515151515154,0.32203750963858274,0.01734142872497535,0.6666666666666667,0.4,0.9844832920792079,0.34476762659563226,0.08467767366049628,0.7325917011902277,0.11620518133287969,0.12851049228988423
AS14.20,2014-04-17,60.0,1,6.4,6.0,0.4492753623188399,0.26459143968871596,0.4696969696969699,0.2389788422033561,0.0,0.33333333333333337,0.6,0.9999999999999999,0.3617152449782017,0.10668447456788,0.7449820622005663,0.079235930398494,0.07942967922064917
AS14.20,2014-04-18,61.0,1,6.75,7.0,0.33333333333333215,0.17120622568093385,0.4090909090909091,0.18729563615358424,0.006488296987052555,0.0,0.6,0.9999999999999999,0.38054689351886944,0.10415705740456493,0.7328259451718642,0.05847318218157357,0.03799081652300332
