id,date,day_id,mood,mood_5_day_average,circumplex.arousal_5_day_average,circumplex.valence_5_day_average,activity_5_day_average,screen_5_day_average,call_5_day_average,sms_5_day_average,appCat.work_5_day_average,appCat.recreation_5_day_average,appCat.utils_5_day_average,appCat.convenience_5_day_average
AS14.01,2014-04-11,54.0,0.875,0.8958333333333331,0.2511737089201879,0.6006944444444445,0.5640361385147858,0.5326236711990128,1.0,0.0,0.2711678953282117,0.5410782911993346,0.6610671194473652,0.7254159630669484
AS14.01,2014-04-12,55.0,0.90625,0.9088541666666665,0.18779342723004705,0.6631944444444445,0.5865806445449674,0.5372891323635224,0.6666666666666667,0.0,0.34723498335292236,0.5100055011877864,0.7362186587074956,0.6614495573272087
AS14.01,2014-04-13,56.0,1.0,0.9283854166666665,0.17605633802816906,0.7673611111111112,0.6178081900713466,0.7613356989961743,0.33333333333333326,0.0,0.2195074668244136,0.5931050248109845,0.5547675453588926,0.6047142739752315
AS14.01,2014-04-14,57.0,0.9,0.9648437499999998,0.05633802816901412,0.9062499999999999,0.5290887355278048,0.7429093193066818,0.0,0.0,0.23299198775851254,0.5244693664233213,0.5210905047931568,0.48353022524069017
AS14.01,2014-04-15,58.0,0.8,0.9596354166666665,0.0,0.8229166666666667,0.4762718743514018,0.8367251273020042,0.0,0.2,0.3052028908398388,0.65110266937205,0.38403797490841696,0.3063412584045024
AS14.01,2014-04-16,59.0,0.9,0.9335937499999999,0.05633802816901412,0.8229166666666667,0.49240637648809865,0.8371720142467807,0.0,0.4,0.21378301282355303,0.6185591586663167,0.39024869735048695,0.33420461751047764
AS14.01,2014-04-17,60.0,0.825,0.938802083333333,0.3309859154929578,0.7604166666666667,0.5446839287717703,0.8243488208215615,0.0,0.6,0.13771592479884243,0.5854584744152318,0.2868572084628738,0.3241201814929872
AS14.01,2014-04-18,61.0,0.85,0.921875,0.3802816901408451,0.7291666666666666,0.5224971585861864,0.6922407425441658,0.33333333333333326,0.6,0.13771592479884243,0.5091433426043792,0.2805520843719478,0.3210697327770424
AS14.01,2014-04-19,62.0,0.975,0.890625,0.44366197183098594,0.6875000000000001,0.638287191369504,0.8239906802434644,0.6666666666666667,0.6,0.175871714147004,0.6141889870012748,0.37844913341548436,0.31121526191262494
AS14.01,2014-04-20,63.0,0.90625,0.9062499999999998,0.5845070422535211,0.7708333333333334,0.6607827754700434,0.8554364604503423,0.6666666666666667,0.4,0.1809696391476292,0.4960708408021413,0.47884261849056525,0.2783476385011387
AS14.01,2014-04-21,64.0,0.95,0.9283854166666666,0.5492957746478874,0.7604166666666667,0.6386470830313681,0.8453332514758435,0.6666666666666667,0.4,0.18560352847582196,0.5055387220492822,0.44636139784890505,0.2127698782773894
AS14.01,2014-04-22,65.0,0.925,0.938802083333333,0.4084507042253522,0.8645833333333333,0.6182865293038841,0.8308724592885939,1.0,0.2,0.23938962840312844,0.5041001903669322,0.5403360483298572,0.24006516072188067
AS14.01,2014-04-23,66.0,0.95,0.9596354166666665,0.49295774647887325,0.9479166666666666,0.6689541998704676,0.7441454420587681,1.0,0.2,0.27047597633351855,0.47887588641448203,0.5611458665011736,0.23878371514020555
AS14.01,2014-04-24,67.0,0.95,0.9804687499999998,0.6338028169014085,0.9895833333333334,0.5994218436861695,0.664791633011198,1.0,0.2,0.21708946909576313,0.37821124352850094,0.5097665621263912,0.24014116265812047
AS14.01,2014-04-25,68.0,0.9,0.9752604166666665,0.6056338028169014,0.9895833333333334,0.5291925246026169,0.7234175947530374,1.0,0.2,0.3434425022614328,0.40948519784010373,0.40126041794302947,0.24970861535559163
AS14.01,2014-04-26,69.0,0.95,0.9739583333333331,0.6126760563380281,1.0,0.5787504017922409,0.730508593263168,1.0,0.2,0.3517886769690849,0.4033799791674541,0.4583974488273909,0.27599224018610485
AS14.01,2014-04-27,70.0,0.9375,0.9739583333333331,0.6197183098591549,1.0,0.7411333825503646,0.9372154231027253,1.0,0.4,0.33106754397613786,0.8038066618415033,0.40059681524274865,0.2804116960605866
AS14.01,2014-04-28,71.0,0.95,0.9765624999999999,0.5915492957746479,1.0,0.6522042357770099,0.9675341618337541,0.6666666666666667,0.4,0.2999811960457477,0.8263265400397698,0.38816905015473746,0.8200352744594265
AS14.01,2014-04-29,72.0,0.875,0.9765624999999999,0.45070422535211274,0.9583333333333334,0.6141288160802105,1.0,0.6666666666666667,0.4,0.5215434085160947,0.9351236688910481,0.3850381257738267,0.8485700312670724
AS14.01,2014-04-30,73.0,0.975,0.9609375,0.471830985915493,0.9583333333333334,0.6891718905886258,0.8289947117683835,0.33333333333333326,0.4,0.3178815472684737,1.0,0.4445347423119393,0.8492004503128228
AS14.01,2014-05-01,74.0,1.0,0.9765624999999999,0.44366197183098594,0.9479166666666666,0.7499388860785464,0.8034310970101582,0.33333333333333326,0.2,0.5869899002986212,0.9433219330087217,0.4422309086407974,0.9158347225270997
AS14.01,2014-05-02,75.0,0.95,0.9869791666666665,0.41549295774647893,0.9479166666666666,0.4935252692721554,0.6182604695981995,0.33333333333333326,0.2,0.8326173207216233,0.599684034018368,0.4037309316700956,0.8875665396749216
AS14.01,2014-05-03,76.0,1.0,0.9895833333333331,0.3873239436619719,0.9479166666666666,0.5613424145590973,0.635662345135381,0.33333333333333326,0.2,0.9999999999999999,0.5812320920071566,0.3774273226985538,0.3250399101318967
AS14.01,2014-05-04,77.0,1.0,1.0,0.471830985915493,0.9895833333333334,0.6366898306165051,0.6194001378569666,0.0,0.4,0.9289120659407086,0.5129934671108618,0.6781996402516783,0.4731782711976767
AS14.02,2014-02-17,1.0,0.0,,,,,,,,,,,
AS14.02,2014-02-18,2.0,0.0,,,,,,,,,,,
AS14.02,2014-02-19,3.0,0.0,,,,,,,,,,,
AS14.02,2014-02-20,4.0,0.0,,,,,,,,,,,
AS14.02,2014-02-21,5.0,0.0,,,,,,,,,,,
AS14.02,2014-02-22,6.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-02-23,7.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-02-24,8.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-02-25,9.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-02-26,10.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-27,11.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-02-28,12.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
AS14.02,2014-03-01,13.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
AS14.02,2014-03-02,14.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
AS14.02,2014-03-03,15.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0
AS14.02,2014-03-04,16.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0
AS14.02,2014-03-05,17.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
AS14.02,2014-03-06,18.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0
AS14.02,2014-03-07,19.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0
AS14.02,2014-03-08,20.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
AS14.02,2014-03-09,21.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-03-10,22.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
AS14.02,2014-03-11,23.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-03-12,24.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-03-13,25.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-03-14,26.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
AS14.02,2014-03-15,27.0,0.0,0.0,0.7391304347826088,0.26717557251908397,0.0,0.08354079172881537,1.0,0.75,0.0,0.03957476975817027,0.03199591053684756,0.22274722138849395
AS14.02,2014-03-16,28.0,0.7037037037037036,0.0,0.7391304347826088,0.26717557251908397,0.0,0.19437248339923593,1.0,0.5,0.0,0.09601289978543817,0.16201990264760782,0.22274722138849395
AS14.02,2014-03-17,29.0,0.75,0.1735159817351598,0.7391304347826088,0.26717557251908397,0.0,0.3433842642046167,1.0,0.5,0.0,0.2469734912734616,0.2667362347462577,0.41576615872253725
AS14.02,2014-03-18,30.0,0.911111111111111,0.3584474885844748,0.8260869565217392,0.3816793893129771,0.10500576248045901,0.6336086882400962,1.0,0.25,0.0,0.8256412952094153,0.3063536779694711,0.5322498495006243
AS14.02,2014-03-19,31.0,0.7555555555555555,0.5831050228310501,0.9304347826086957,0.5648854961832062,0.24213518759051364,0.7381462439508713,1.0,0.25,0.0,0.9019665018000996,0.3838315556303507,0.6917062147610561
AS14.02,2014-03-20,32.0,0.8055555555555555,0.7694063926940639,1.0,0.6564885496183207,0.4393355556724309,0.8430213202173445,1.0,0.5,0.0,0.9231218444776068,0.4758554906309617,0.6270218842388346
